win,lose,probability
Charlotte Hornets,Chicago Bulls,0.638176208
,,
Denver Nuggets,Los Angeles Lakers,0.78528182
,,
Memphis Grizzlies,Milwaukee Bucks,0.638001656
,,
Washington Wizards,Minnesota Timberwolves,0.684178097
,,
Orlando Magic,Sacramento Kings,0.514764792
,,
San Antonio Spurs,Atlanta Hawks,0.795951831
,,
Toronto Raptors,Dallas Mavericks,0.759625276
,,
Los Angeles Clippers,Utah Jazz,0.615196216
,,
Oklahoma City Thunder,Brooklyn Nets,0.921712828
,,
Cleveland Cavaliers,Detroit Pistons,0.782636128
,,
Golden State Warriors,Philadelphia 76ers,0.987204284
,,
Portland Trail Blazers,New Orleans Pelicans,0.832511043
,,
Indiana Pacers,New York Knicks,0.688779107
,,
Boston Celtics,Minnesota Timberwolves,0.817714111
,,
Chicago Bulls,Memphis Grizzlies,0.606928965
,,
Detroit Pistons,Utah Jazz,0.57062736
,,
Houston Rockets,Los Angeles Lakers,0.867847022
,,
Indiana Pacers,Charlotte Hornets,0.503618616
,,
Los Angeles Clippers,Milwaukee Bucks,0.83537872
,,
Miami Heat,New Orleans Pelicans,0.790673662
,,
Sacramento Kings,Phoenix Suns,0.696553186
,,
San Antonio Spurs,Portland Trail Blazers,0.708367679
,,
Washington Wizards,Dallas Mavericks,0.547113758
,,
Atlanta Hawks,Memphis Grizzlies,0.709344204
,,
Cleveland Cavaliers,Utah Jazz,0.797524953
,,
Los Angeles Clippers,Denver Nuggets,0.752167645
,,
Golden State Warriors,Orlando Magic,0.916784639
,,
New York Knicks,Brooklyn Nets,0.694953539
,,
Toronto Raptors,Oklahoma City Thunder,0.555412992
,,
Boston Celtics,Brooklyn Nets,0.886031823
,,
Toronto Raptors,Detroit Pistons,0.619315012
,,
Milwaukee Bucks,Los Angeles Lakers,0.792899375
,,
Miami Heat,Minnesota Timberwolves,0.801020103
,,
Houston Rockets,New Orleans Pelicans,0.661949495
,,
Dallas Mavericks,Philadelphia 76ers,0.929405205
,,
Orlando Magic,Phoenix Suns,0.719820399
,,
Washington Wizards,Chicago Bulls,0.512941584
,,
Portland Trail Blazers,Atlanta Hawks,0.544527239
,,
Chicago Bulls,Utah Jazz,0.557422794
,,
Charlotte Hornets,Washington Wizards,0.660442111
,,
Houston Rockets,Denver Nuggets,0.607537845
,,
Golden State Warriors,Milwaukee Bucks,0.937816488
,,
Cleveland Cavaliers,Los Angeles Clippers,0.520910653
,,
San Antonio Spurs,Memphis Grizzlies,0.806720202
,,
Oklahoma City Thunder,Sacramento Kings,0.848727346
,,
Dallas Mavericks,Brooklyn Nets,0.823143219
,,
Detroit Pistons,Phoenix Suns,0.817441922
,,
Cleveland Cavaliers,Los Angeles Lakers,0.954800681
,,
Portland Trail Blazers,Miami Heat,0.565728009
,,
New Orleans Pelicans,Minnesota Timberwolves,0.51339568
,,
Boston Celtics,Philadelphia 76ers,0.956504668
,,
San Antonio Spurs,Sacramento Kings,0.905298338
,,
Toronto Raptors,Indiana Pacers,0.714095152
,,
Boston Celtics,Washington Wizards,0.677668773
,,
Charlotte Hornets,Atlanta Hawks,0.559642454
,,
Houston Rockets,Denver Nuggets,0.652512326
,,
Indiana Pacers,Utah Jazz,0.594569326
,,
Los Angeles Clippers,New York Knicks,0.826014863
,,
Golden State Warriors,Oklahoma City Thunder,0.563773039
,,
Orlando Magic,Philadelphia 76ers,0.88198593
,,
Detroit Pistons,Brooklyn Nets,0.845432504
,,
Golden State Warriors,Dallas Mavericks,0.803849043
,,
Los Angeles Clippers,Los Angeles Lakers,0.934357941
,,
Miami Heat,Phoenix Suns,0.860245293
,,
San Antonio Spurs,Minnesota Timberwolves,0.890551999
,,
Memphis Grizzlies,New Orleans Pelicans,0.630123313
,,
Portland Trail Blazers,Milwaukee Bucks,0.722492474
,,
Toronto Raptors,Chicago Bulls,0.733682725
,,
Boston Celtics,Indiana Pacers,0.633494984
,,
Chicago Bulls,Detroit Pistons,0.535168755
,,
Cleveland Cavaliers,Denver Nuggets,0.818316692
,,
Oklahoma City Thunder,Philadelphia 76ers,0.972303095
,,
Charlotte Hornets,Orlando Magic,0.666795267
,,
Sacramento Kings,Milwaukee Bucks,0.563393852
,,
Utah Jazz,New York Knicks,0.685108481
,,
Atlanta Hawks,Washington Wizards,0.568557474
,,
Phoenix Suns,Brooklyn Nets,0.597417418
,,
Los Angeles Clippers,Dallas Mavericks,0.632078617
,,
Toronto Raptors,Miami Heat,0.542006881
,,
Portland Trail Blazers,New York Knicks,0.708944697
,,
San Antonio Spurs,Memphis Grizzlies,0.876343724
,,
Boston Celtics,Phoenix Suns,0.872759723
,,
Chicago Bulls,Philadelphia 76ers,0.92873344
,,
Cleveland Cavaliers,Charlotte Hornets,0.591574204
,,
Golden State Warriors,Sacramento Kings,0.924983912
,,
Houston Rockets,New Orleans Pelicans,0.692165492
,,
Indiana Pacers,Denver Nuggets,0.716890197
,,
Minnesota Timberwolves,Los Angeles Lakers,0.778478397
,,
Atlanta Hawks,Milwaukee Bucks,0.751471315
,,
Detroit Pistons,Orlando Magic,0.602313629
,,
Washington Wizards,Brooklyn Nets,0.828003796
,,
Cleveland Cavaliers,Washington Wizards,0.802674189
,,
Toronto Raptors,Dallas Mavericks,0.668947683
,,
Los Angeles Clippers,Utah Jazz,0.715012414
,,
Portland Trail Blazers,Minnesota Timberwolves,0.739337753
,,
San Antonio Spurs,New York Knicks,0.916240472
,,
Atlanta Hawks,Brooklyn Nets,0.894979432
,,
Boston Celtics,Miami Heat,0.583761438
,,
Charlotte Hornets,Phoenix Suns,0.863864958
,,
Denver Nuggets,New Orleans Pelicans,0.555995069
,,
Golden State Warriors,Memphis Grizzlies,0.901392494
,,
Oklahoma City Thunder,Houston Rockets,0.68406868
,,
Indiana Pacers,Philadelphia 76ers,0.938171764
,,
Los Angeles Clippers,Sacramento Kings,0.805784343
,,
Portland Trail Blazers,Los Angeles Lakers,0.948531534
,,
Chicago Bulls,Milwaukee Bucks,0.68540607
,,
Oklahoma City Thunder,Dallas Mavericks,0.687575813
,,
Detroit Pistons,New York Knicks,0.672733884
,,
Memphis Grizzlies,Sacramento Kings,0.56112365
,,
San Antonio Spurs,Cleveland Cavaliers,0.679395379
,,
Toronto Raptors,Orlando Magic,0.812960032
,,
Utah Jazz,New Orleans Pelicans,0.703896598
,,
Atlanta Hawks,Phoenix Suns,0.870252043
,,
Brooklyn Nets,Philadelphia 76ers,0.674205772
,,
Charlotte Hornets,Milwaukee Bucks,0.792070639
,,
Miami Heat,Detroit Pistons,0.522045124
,,
Golden State Warriors,Houston Rockets,0.801269889
,,
Indiana Pacers,Minnesota Timberwolves,0.763676234
,,
Washington Wizards,Los Angeles Lakers,0.88232965
,,
Portland Trail Blazers,Denver Nuggets,0.689691206
,,
Boston Celtics,Milwaukee Bucks,0.804595217
,,
Los Angeles Clippers,Washington Wizards,0.721527359
,,
Indiana Pacers,Memphis Grizzlies,0.574766387
,,
Dallas Mavericks,New Orleans Pelicans,0.660345005
,,
Miami Heat,New York Knicks,0.731731192
,,
Oklahoma City Thunder,Orlando Magic,0.76526179
,,
Atlanta Hawks,Philadelphia 76ers,0.954460765
,,
Utah Jazz,Sacramento Kings,0.610505109
,,
San Antonio Spurs,Golden State Warriors,0.568660907
,,
Toronto Raptors,Charlotte Hornets,0.670530928
,,
Cleveland Cavaliers,Chicago Bulls,0.684134194
,,
Detroit Pistons,Brooklyn Nets,0.850504947
,,
Minnesota Timberwolves,Los Angeles Lakers,0.729664071
,,
Los Angeles Clippers,Phoenix Suns,0.874648311
,,
Portland Trail Blazers,Houston Rockets,0.578578292
,,
Boston Celtics,Orlando Magic,0.750492809
,,
Charlotte Hornets,Denver Nuggets,0.764816392
,,
Cleveland Cavaliers,Philadelphia 76ers,0.976050852
,,
Golden State Warriors,Houston Rockets,0.888305208
,,
Dallas Mavericks,Memphis Grizzlies,0.516507984
,,
Miami Heat,New York Knicks,0.77563661
,,
Detroit Pistons,Milwaukee Bucks,0.690598412
,,
Sacramento Kings,New Orleans Pelicans,0.558102706
,,
San Antonio Spurs,Oklahoma City Thunder,0.517366634
,,
Toronto Raptors,Indiana Pacers,0.714095152
,,
Utah Jazz,Washington Wizards,0.542833896
,,
Orlando Magic,Brooklyn Nets,0.771897472
,,
Atlanta Hawks,Chicago Bulls,0.540572758
,,
Los Angeles Clippers,Los Angeles Lakers,0.938080997
,,
Sacramento Kings,Minnesota Timberwolves,0.574990823
,,
Portland Trail Blazers,Phoenix Suns,0.812627756
,,
Atlanta Hawks,Brooklyn Nets,0.881088004
,,
Cleveland Cavaliers,Indiana Pacers,0.769812641
,,
Golden State Warriors,Washington Wizards,0.885063263
,,
Memphis Grizzlies,Los Angeles Lakers,0.863322305
,,
Miami Heat,Denver Nuggets,0.759296954
,,
Dallas Mavericks,Milwaukee Bucks,0.655090401
,,
Chicago Bulls,New Orleans Pelicans,0.690417084
,,
Boston Celtics,New York Knicks,0.745013611
,,
Oklahoma City Thunder,Charlotte Hornets,0.701248195
,,
Houston Rockets,Phoenix Suns,0.780651362
,,
San Antonio Spurs,Utah Jazz,0.852524554
,,
Toronto Raptors,Philadelphia 76ers,0.968191167
,,
Cleveland Cavaliers,Orlando Magic,0.8533669
,,
Golden State Warriors,Minnesota Timberwolves,0.942629053
,,
Toronto Raptors,Indiana Pacers,0.59584103
,,
Denver Nuggets,New Orleans Pelicans,0.547421478
,,
Chicago Bulls,New York Knicks,0.667386135
,,
Oklahoma City Thunder,Milwaukee Bucks,0.87281099
,,
Brooklyn Nets,Philadelphia 76ers,0.767644612
,,
Dallas Mavericks,Sacramento Kings,0.593344737
,,
San Antonio Spurs,Memphis Grizzlies,0.876343724
,,
Portland Trail Blazers,Utah Jazz,0.674258728
,,
Charlotte Hornets,Washington Wizards,0.562428298
,,
Cleveland Cavaliers,Boston Celtics,0.572647941
,,
Charlotte Hornets,Miami Heat,0.564739512
,,
Toronto Raptors,Detroit Pistons,0.619315012
,,
Houston Rockets,Denver Nuggets,0.652512326
,,
Los Angeles Clippers,Dallas Mavericks,0.729380236
,,
Oklahoma City Thunder,Memphis Grizzlies,0.729900133
,,
Golden State Warriors,Phoenix Suns,0.943325179
,,
San Antonio Spurs,Los Angeles Lakers,0.972150489
,,
Atlanta Hawks,Boston Celtics,0.561455518
,,
Indiana Pacers,Milwaukee Bucks,0.747867439
,,
Washington Wizards,New York Knicks,0.645331047
,,
Orlando Magic,Brooklyn Nets,0.755625218
,,
Chicago Bulls,Philadelphia 76ers,0.93789586
,,
Portland Trail Blazers,Minnesota Timberwolves,0.739337753
,,
Cleveland Cavaliers,Atlanta Hawks,0.726619575
,,
San Antonio Spurs,Dallas Mavericks,0.772684577
,,
Denver Nuggets,New Orleans Pelicans,0.555995069
,,
Detroit Pistons,Houston Rockets,0.501475242
,,
Sacramento Kings,Los Angeles Lakers,0.824028372
,,
Memphis Grizzlies,New York Knicks,0.622484364
,,
Oklahoma City Thunder,Phoenix Suns,0.899380882
,,
Toronto Raptors,Miami Heat,0.669594392
,,
Utah Jazz,Minnesota Timberwolves,0.716996994
,,
Chicago Bulls,Brooklyn Nets,0.842245009
,,
Charlotte Hornets,Boston Celtics,0.547766713
,,
Golden State Warriors,New Orleans Pelicans,0.939085966
,,
Indiana Pacers,Orlando Magic,0.61986049
,,
Milwaukee Bucks,Philadelphia 76ers,0.874881943
,,
Portland Trail Blazers,Utah Jazz,0.56278574
,,
San Antonio Spurs,Los Angeles Clippers,0.758737847
,,
Miami Heat,Washington Wizards,0.563470565
,,
Cleveland Cavaliers,Atlanta Hawks,0.578119109
,,
Oklahoma City Thunder,Denver Nuggets,0.7954137
,,
Minnesota Timberwolves,Los Angeles Lakers,0.778478397
,,
Detroit Pistons,Memphis Grizzlies,0.55662688
,,
Toronto Raptors,New York Knicks,0.80247378
,,
Dallas Mavericks,Phoenix Suns,0.779422531
,,
Houston Rockets,Sacramento Kings,0.595071648
,,
Boston Celtics,Brooklyn Nets,0.897065726
,,
Chicago Bulls,Orlando Magic,0.650461557
,,
Detroit Pistons,Washington Wizards,0.578497232
,,
Golden State Warriors,Utah Jazz,0.88174724
,,
Los Angeles Clippers,Houston Rockets,0.727964266
,,
Cleveland Cavaliers,Miami Heat,0.59890801
,,
Charlotte Hornets,Milwaukee Bucks,0.746783364
,,
Indiana Pacers,Philadelphia 76ers,0.943366674
,,
San Antonio Spurs,Portland Trail Blazers,0.738595293
,,
Atlanta Hawks,Charlotte Hornets,0.5793428
,,
Dallas Mavericks,Denver Nuggets,0.648812624
,,
New Orleans Pelicans,Los Angeles Lakers,0.789266962
,,
Oklahoma City Thunder,Minnesota Timberwolves,0.840462035
,,
Sacramento Kings,Phoenix Suns,0.682495591
,,
Boston Celtics,Milwaukee Bucks,0.804595217
,,
Chicago Bulls,Brooklyn Nets,0.843547634
,,
Cleveland Cavaliers,Toronto Raptors,0.645620485
,,
Golden State Warriors,Los Angeles Lakers,0.978273062
,,
Houston Rockets,Minnesota Timberwolves,0.705567804
,,
Atlanta Hawks,Indiana Pacers,0.502617552
,,
Los Angeles Clippers,Sacramento Kings,0.805784343
,,
Dallas Mavericks,Memphis Grizzlies,0.516507984
,,
Miami Heat,Washington Wizards,0.653582641
,,
New York Knicks,Philadelphia 76ers,0.846305126
,,
Oklahoma City Thunder,Denver Nuggets,0.854191574
,,
Detroit Pistons,Orlando Magic,0.602313629
,,
Portland Trail Blazers,New Orleans Pelicans,0.726877585
,,
San Antonio Spurs,Utah Jazz,0.759802231
