,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
502,Portland Trail Blazers,Charlotte Hornets,0.6906528887464198,Portland Trail Blazers,Charlotte Hornets,H,1,0
503,Los Angeles Lakers,Minnesota Timberwolves,0.8041160069998947,Minnesota Timberwolves,Los Angeles Lakers,H,0,1
504,Detroit Pistons,Houston Rockets,0.5923063586908276,Houston Rockets,Detroit Pistons,V,0,1
505,New York Knicks,Boston Celtics,0.5569785522395929,Boston Celtics,New York Knicks,H,0,1
506,Golden State Warriors,Toronto Raptors,0.6244569529321413,Toronto Raptors,Golden State Warriors,H,0,1
507,Brooklyn Nets,Orlando Magic,0.85173307702315,Orlando Magic,Brooklyn Nets,V,0,1
508,Los Angeles Clippers,Oklahoma City Thunder,0.8524643916331328,Oklahoma City Thunder,Los Angeles Clippers,H,0,1
509,Utah Jazz,Washington Wizards,0.7152076610995326,Washington Wizards,Utah Jazz,V,0,1
510,Milwaukee Bucks,Cleveland Cavaliers,0.8525548868857603,Cleveland Cavaliers,Milwaukee Bucks,V,0,1
511,Sacramento Kings,San Antonio Spurs,0.5303995881207241,Sacramento Kings,San Antonio Spurs,H,1,0
512,Portland Trail Blazers,Memphis Grizzlies,0.5335336323999899,Portland Trail Blazers,Memphis Grizzlies,V,1,0
513,Miami Heat,Detroit Pistons,0.7586188376889623,Detroit Pistons,Miami Heat,H,0,1
514,Phoenix Suns,Charlotte Hornets,0.7641303220724969,Phoenix Suns,Charlotte Hornets,H,1,0
515,Dallas Mavericks,Minnesota Timberwolves,0.8367232421097023,Minnesota Timberwolves,Dallas Mavericks,H,0,1
516,Los Angeles Lakers,Chicago Bulls,0.6983234516646862,Chicago Bulls,Los Angeles Lakers,H,0,1
517,Philadelphia 76ers,Boston Celtics,0.6800200413869778,Philadelphia 76ers,Boston Celtics,V,1,0
518,Memphis Grizzlies,Oklahoma City Thunder,0.8329807359993116,Oklahoma City Thunder,Memphis Grizzlies,V,0,1
519,Chicago Bulls,Houston Rockets,0.7398823127717058,Chicago Bulls,Houston Rockets,H,1,0
520,Utah Jazz,Charlotte Hornets,0.7558243281385287,Utah Jazz,Charlotte Hornets,H,1,0
521,Golden State Warriors,Sacramento Kings,0.6253051309210282,Golden State Warriors,Sacramento Kings,H,1,0
522,Los Angeles Clippers,San Antonio Spurs,0.742912220904481,San Antonio Spurs,Los Angeles Clippers,V,0,1
523,New York Knicks,Detroit Pistons,0.8397095763071443,New York Knicks,Detroit Pistons,H,1,0
524,Miami Heat,Indiana Pacers,0.6784622358170969,Miami Heat,Indiana Pacers,H,1,0
525,Portland Trail Blazers,New Orleans Pelicans,0.6479237490340546,New Orleans Pelicans,Portland Trail Blazers,H,0,1
526,Dallas Mavericks,Minnesota Timberwolves,0.840477229724173,Dallas Mavericks,Minnesota Timberwolves,H,1,0
527,Phoenix Suns,Los Angeles Lakers,0.6770000102012815,Phoenix Suns,Los Angeles Lakers,V,1,0
528,Boston Celtics,Cleveland Cavaliers,0.7749152326134463,Boston Celtics,Cleveland Cavaliers,H,1,0
529,Atlanta Hawks,Orlando Magic,0.8189577430954508,Orlando Magic,Atlanta Hawks,V,0,1
530,Denver Nuggets,Oklahoma City Thunder,0.8496883838480948,Oklahoma City Thunder,Denver Nuggets,H,0,1
531,Milwaukee Bucks,Houston Rockets,0.8848064031164933,Milwaukee Bucks,Houston Rockets,H,1,0
532,Los Angeles Clippers,Sacramento Kings,0.7430441820176666,Los Angeles Clippers,Sacramento Kings,V,1,0
533,Philadelphia 76ers,Atlanta Hawks,0.5114064760497785,Atlanta Hawks,Philadelphia 76ers,V,0,1
534,New Orleans Pelicans,Orlando Magic,0.7167674450852473,New Orleans Pelicans,Orlando Magic,V,1,0
535,Indiana Pacers,Houston Rockets,0.7341909825770225,Indiana Pacers,Houston Rockets,H,1,0
536,New York Knicks,Washington Wizards,0.6330515116782077,Washington Wizards,New York Knicks,V,0,1
537,Miami Heat,Detroit Pistons,0.8314914896632076,Miami Heat,Detroit Pistons,H,1,0
538,Milwaukee Bucks,Dallas Mavericks,0.6346618592095459,Milwaukee Bucks,Dallas Mavericks,V,1,0
539,Utah Jazz,Minnesota Timberwolves,0.8686860520340893,Utah Jazz,Minnesota Timberwolves,H,1,0
540,Phoenix Suns,Oklahoma City Thunder,0.8948920774222223,Phoenix Suns,Oklahoma City Thunder,H,1,0
541,Denver Nuggets,Charlotte Hornets,0.7251111182355571,Charlotte Hornets,Denver Nuggets,V,0,1
542,Memphis Grizzlies,Golden State Warriors,0.5682581276314866,Golden State Warriors,Memphis Grizzlies,H,0,1
543,Los Angeles Lakers,San Antonio Spurs,0.7068273806596168,San Antonio Spurs,Los Angeles Lakers,V,0,1
544,Atlanta Hawks,New York Knicks,0.5679034883622058,New York Knicks,Atlanta Hawks,H,0,1
545,Milwaukee Bucks,Boston Celtics,0.6289192469776965,Milwaukee Bucks,Boston Celtics,H,1,0
546,Phoenix Suns,Golden State Warriors,0.6502471429386549,Golden State Warriors,Phoenix Suns,V,0,1
547,Brooklyn Nets,Los Angeles Lakers,0.5893002940516017,Brooklyn Nets,Los Angeles Lakers,V,1,0
548,Dallas Mavericks,Utah Jazz,0.5228134037078154,Utah Jazz,Dallas Mavericks,H,0,1
549,Miami Heat,Orlando Magic,0.7945571711565165,Miami Heat,Orlando Magic,H,1,0
550,Philadelphia 76ers,Washington Wizards,0.7354223431156038,Philadelphia 76ers,Washington Wizards,V,1,0
551,Memphis Grizzlies,Sacramento Kings,0.645729693795669,Memphis Grizzlies,Sacramento Kings,V,1,0
552,Toronto Raptors,Cleveland Cavaliers,0.6027115409718439,Cleveland Cavaliers,Toronto Raptors,H,0,1
553,San Antonio Spurs,Detroit Pistons,0.7179195733035333,San Antonio Spurs,Detroit Pistons,H,1,0
554,New Orleans Pelicans,Oklahoma City Thunder,0.7015010139197123,Oklahoma City Thunder,New Orleans Pelicans,H,0,1
555,Chicago Bulls,Indiana Pacers,0.5528504416558464,Chicago Bulls,Indiana Pacers,H,1,0
556,Denver Nuggets,Los Angeles Clippers,0.5251130424483036,Denver Nuggets,Los Angeles Clippers,V,1,0
557,Charlotte Hornets,Houston Rockets,0.702822633818547,Charlotte Hornets,Houston Rockets,H,1,0
558,Atlanta Hawks,Chicago Bulls,0.6921997712052146,Chicago Bulls,Atlanta Hawks,V,0,1
559,Boston Celtics,Minnesota Timberwolves,0.7386007388247052,Minnesota Timberwolves,Boston Celtics,H,0,1
560,Utah Jazz,San Antonio Spurs,0.8455018563291915,Utah Jazz,San Antonio Spurs,V,1,0
561,Phoenix Suns,Memphis Grizzlies,0.6061737997700121,Memphis Grizzlies,Phoenix Suns,V,0,1
562,Dallas Mavericks,Portland Trail Blazers,0.6030200527095354,Dallas Mavericks,Portland Trail Blazers,V,1,0
563,Brooklyn Nets,Los Angeles Clippers,0.5448635587656913,Brooklyn Nets,Los Angeles Clippers,V,1,0
564,Milwaukee Bucks,Orlando Magic,0.8886415078325184,Milwaukee Bucks,Orlando Magic,V,1,0
565,Philadelphia 76ers,Toronto Raptors,0.7928216119332326,Philadelphia 76ers,Toronto Raptors,V,1,0
566,Miami Heat,Washington Wizards,0.6190449159298224,Miami Heat,Washington Wizards,H,1,0
567,New Orleans Pelicans,Cleveland Cavaliers,0.6827317251070242,New Orleans Pelicans,Cleveland Cavaliers,H,1,0
568,New York Knicks,Minnesota Timberwolves,0.7818867035226049,New York Knicks,Minnesota Timberwolves,V,1,0
569,Los Angeles Lakers,Houston Rockets,0.8517752629239402,Los Angeles Lakers,Houston Rockets,V,1,0
570,Sacramento Kings,Oklahoma City Thunder,0.7521547702196352,Sacramento Kings,Oklahoma City Thunder,H,1,0
571,Denver Nuggets,Golden State Warriors,0.6713672973550483,Denver Nuggets,Golden State Warriors,V,1,0
572,Indiana Pacers,Charlotte Hornets,0.5326334120546283,Charlotte Hornets,Indiana Pacers,V,0,1
573,New York Knicks,Detroit Pistons,0.7982915010937375,New York Knicks,Detroit Pistons,V,1,0
574,Los Angeles Clippers,Boston Celtics,0.6389372311054641,Los Angeles Clippers,Boston Celtics,V,1,0
575,Los Angeles Lakers,Memphis Grizzlies,0.5887420480394024,Memphis Grizzlies,Los Angeles Lakers,H,0,1
576,Atlanta Hawks,Chicago Bulls,0.7042577072017329,Chicago Bulls,Atlanta Hawks,H,0,1
577,Phoenix Suns,Oklahoma City Thunder,0.8948920774222223,Phoenix Suns,Oklahoma City Thunder,H,1,0
578,Utah Jazz,Portland Trail Blazers,0.7168947197244488,Utah Jazz,Portland Trail Blazers,V,1,0
579,Dallas Mavericks,Sacramento Kings,0.7459934916495504,Sacramento Kings,Dallas Mavericks,H,0,1
580,Washington Wizards,Cleveland Cavaliers,0.7246868259952621,Washington Wizards,Cleveland Cavaliers,H,1,0
581,Milwaukee Bucks,Orlando Magic,0.8886415078325184,Milwaukee Bucks,Orlando Magic,V,1,0
582,Philadelphia 76ers,Brooklyn Nets,0.5740990997704513,Philadelphia 76ers,Brooklyn Nets,V,1,0
583,Phoenix Suns,Boston Celtics,0.7324715192710805,Boston Celtics,Phoenix Suns,H,0,1
584,Indiana Pacers,Chicago Bulls,0.5224482727593713,Chicago Bulls,Indiana Pacers,V,0,1
585,Dallas Mavericks,Sacramento Kings,0.7459934916495504,Dallas Mavericks,Sacramento Kings,V,1,0
586,Miami Heat,Houston Rockets,0.7993985181270126,Miami Heat,Houston Rockets,V,1,0
587,Los Angeles Clippers,Toronto Raptors,0.7611343339773311,Toronto Raptors,Los Angeles Clippers,H,0,1
588,Atlanta Hawks,Cleveland Cavaliers,0.8198508804759544,Atlanta Hawks,Cleveland Cavaliers,V,1,0
589,New York Knicks,Oklahoma City Thunder,0.8041152341374355,Oklahoma City Thunder,New York Knicks,H,0,1
590,Memphis Grizzlies,San Antonio Spurs,0.6498801045675896,Memphis Grizzlies,San Antonio Spurs,H,1,0
591,Utah Jazz,Minnesota Timberwolves,0.8686860520340893,Utah Jazz,Minnesota Timberwolves,H,1,0
592,Los Angeles Lakers,Portland Trail Blazers,0.5317513349314504,Los Angeles Lakers,Portland Trail Blazers,H,1,0
593,Milwaukee Bucks,New Orleans Pelicans,0.7000123555489883,Milwaukee Bucks,New Orleans Pelicans,H,1,0
594,Washington Wizards,Chicago Bulls,0.5807044310338972,Chicago Bulls,Washington Wizards,V,0,1
595,San Antonio Spurs,Detroit Pistons,0.6303913848165082,Detroit Pistons,San Antonio Spurs,H,0,1
596,Los Angeles Clippers,Brooklyn Nets,0.5288394130703712,Los Angeles Clippers,Brooklyn Nets,V,1,0
597,Denver Nuggets,Houston Rockets,0.8735822564605029,Denver Nuggets,Houston Rockets,V,1,0
598,Utah Jazz,Golden State Warriors,0.6398211248344539,Golden State Warriors,Utah Jazz,V,0,1
599,New York Knicks,Toronto Raptors,0.6936124744792861,Toronto Raptors,New York Knicks,H,0,1
600,Miami Heat,Sacramento Kings,0.6199833253544887,Sacramento Kings,Miami Heat,H,0,1
601,Indiana Pacers,Cleveland Cavaliers,0.6071832014249815,Cleveland Cavaliers,Indiana Pacers,H,0,1
602,Boston Celtics,Orlando Magic,0.7846529216371783,Boston Celtics,Orlando Magic,H,1,0
603,Dallas Mavericks,Oklahoma City Thunder,0.8544038789254302,Dallas Mavericks,Oklahoma City Thunder,V,1,0
604,Phoenix Suns,Charlotte Hornets,0.8411317007950831,Phoenix Suns,Charlotte Hornets,V,1,0
605,Los Angeles Lakers,Minnesota Timberwolves,0.8404563135552087,Los Angeles Lakers,Minnesota Timberwolves,H,1,0
606,Washington Wizards,Charlotte Hornets,0.5906206717949826,Washington Wizards,Charlotte Hornets,H,1,0
607,Philadelphia 76ers,Houston Rockets,0.8763864191007442,Philadelphia 76ers,Houston Rockets,H,1,0
608,Brooklyn Nets,Memphis Grizzlies,0.5856581089576254,Memphis Grizzlies,Brooklyn Nets,V,0,1
609,Utah Jazz,New Orleans Pelicans,0.827388048846221,Utah Jazz,New Orleans Pelicans,V,1,0
610,Milwaukee Bucks,Detroit Pistons,0.8864632525523332,Detroit Pistons,Milwaukee Bucks,V,0,1
611,Chicago Bulls,Orlando Magic,0.6938323911307083,Chicago Bulls,Orlando Magic,H,1,0
612,Denver Nuggets,Dallas Mavericks,0.5699178988776814,Dallas Mavericks,Denver Nuggets,H,0,1
613,Atlanta Hawks,Portland Trail Blazers,0.55590720482893,Portland Trail Blazers,Atlanta Hawks,H,0,1
614,Miami Heat,Golden State Warriors,0.5408846458065982,Golden State Warriors,Miami Heat,H,0,1
615,Los Angeles Clippers,Minnesota Timberwolves,0.8632751091964013,Minnesota Timberwolves,Los Angeles Clippers,V,0,1
616,Toronto Raptors,San Antonio Spurs,0.5061725189566932,Toronto Raptors,San Antonio Spurs,H,1,0
617,Memphis Grizzlies,Cleveland Cavaliers,0.7741331394680628,Memphis Grizzlies,Cleveland Cavaliers,V,1,0
618,New York Knicks,Indiana Pacers,0.691373370328278,New York Knicks,Indiana Pacers,H,1,0
619,Phoenix Suns,New Orleans Pelicans,0.8141372876698826,Phoenix Suns,New Orleans Pelicans,V,1,0
620,Los Angeles Lakers,Sacramento Kings,0.720074502754233,Los Angeles Lakers,Sacramento Kings,H,1,0
621,Washington Wizards,Houston Rockets,0.7776118888090185,Houston Rockets,Washington Wizards,V,0,1
622,Philadelphia 76ers,Orlando Magic,0.8819678656996469,Philadelphia 76ers,Orlando Magic,V,1,0
623,Charlotte Hornets,Detroit Pistons,0.7062279275969576,Charlotte Hornets,Detroit Pistons,H,1,0
624,Brooklyn Nets,Indiana Pacers,0.7563021035855373,Brooklyn Nets,Indiana Pacers,V,1,0
625,Dallas Mavericks,Golden State Warriors,0.5858851113508516,Dallas Mavericks,Golden State Warriors,H,1,0
626,Boston Celtics,San Antonio Spurs,0.6485896180045803,San Antonio Spurs,Boston Celtics,V,0,1
627,Minnesota Timberwolves,Oklahoma City Thunder,0.6349351649175129,Minnesota Timberwolves,Oklahoma City Thunder,H,1,0
628,Milwaukee Bucks,Toronto Raptors,0.7728199558677811,Toronto Raptors,Milwaukee Bucks,V,0,1
629,Atlanta Hawks,Sacramento Kings,0.7076214993350673,Atlanta Hawks,Sacramento Kings,V,1,0
630,Portland Trail Blazers,Miami Heat,0.5423519864216726,Miami Heat,Portland Trail Blazers,V,0,1
631,Utah Jazz,Denver Nuggets,0.6818584279609424,Utah Jazz,Denver Nuggets,V,1,0
632,New York Knicks,Boston Celtics,0.5320905315094407,New York Knicks,Boston Celtics,H,1,0
633,Golden State Warriors,New Orleans Pelicans,0.5963494861459255,New Orleans Pelicans,Golden State Warriors,H,0,1
634,Memphis Grizzlies,Detroit Pistons,0.8237951802539305,Memphis Grizzlies,Detroit Pistons,H,1,0
635,Los Angeles Clippers,Phoenix Suns,0.5075678013425241,Phoenix Suns,Los Angeles Clippers,H,0,1
636,Philadelphia 76ers,San Antonio Spurs,0.7410134191518885,Philadelphia 76ers,San Antonio Spurs,H,1,0
637,Utah Jazz,Toronto Raptors,0.8436261249644492,Toronto Raptors,Utah Jazz,H,0,1
638,Milwaukee Bucks,Brooklyn Nets,0.5900896199710782,Milwaukee Bucks,Brooklyn Nets,V,1,0
639,Oklahoma City Thunder,Minnesota Timberwolves,0.5525898437830215,Minnesota Timberwolves,Oklahoma City Thunder,V,0,1
640,Dallas Mavericks,Houston Rockets,0.8776560962735278,Dallas Mavericks,Houston Rockets,V,1,0
641,Washington Wizards,Chicago Bulls,0.512253314060742,Chicago Bulls,Washington Wizards,H,0,1
642,Denver Nuggets,Sacramento Kings,0.7335348604056713,Denver Nuggets,Sacramento Kings,H,1,0
643,Portland Trail Blazers,Cleveland Cavaliers,0.8028925565394818,Cleveland Cavaliers,Portland Trail Blazers,V,0,1
644,Atlanta Hawks,Los Angeles Lakers,0.531354743473813,Los Angeles Lakers,Atlanta Hawks,H,0,1
645,Los Angeles Clippers,Memphis Grizzlies,0.5839697022730577,Memphis Grizzlies,Los Angeles Clippers,V,0,1
646,Utah Jazz,Indiana Pacers,0.8322368710270461,Indiana Pacers,Utah Jazz,H,0,1
647,Detroit Pistons,Orlando Magic,0.5364971577702187,Detroit Pistons,Orlando Magic,H,1,0
648,Milwaukee Bucks,Charlotte Hornets,0.8144333847307683,Charlotte Hornets,Milwaukee Bucks,H,0,1
649,New York Knicks,Boston Celtics,0.5569785522395929,Boston Celtics,New York Knicks,H,0,1
650,Phoenix Suns,Miami Heat,0.6323008851035772,Miami Heat,Phoenix Suns,V,0,1
651,Brooklyn Nets,San Antonio Spurs,0.7442380918978443,Brooklyn Nets,San Antonio Spurs,H,1,0
652,Los Angeles Clippers,Atlanta Hawks,0.5138843428183346,Los Angeles Clippers,Atlanta Hawks,H,1,0
653,New Orleans Pelicans,Toronto Raptors,0.5644648151005157,Toronto Raptors,New Orleans Pelicans,H,0,1
654,Washington Wizards,Orlando Magic,0.696664642100493,Washington Wizards,Orlando Magic,V,1,0
655,Denver Nuggets,Oklahoma City Thunder,0.8496883838480948,Denver Nuggets,Oklahoma City Thunder,V,1,0
656,Houston Rockets,Minnesota Timberwolves,0.5025722105213312,Minnesota Timberwolves,Houston Rockets,V,0,1
657,Dallas Mavericks,Chicago Bulls,0.7029629858054708,Dallas Mavericks,Chicago Bulls,H,1,0
658,Golden State Warriors,Cleveland Cavaliers,0.7447400006507341,Golden State Warriors,Cleveland Cavaliers,H,1,0
659,Portland Trail Blazers,Sacramento Kings,0.699695255693555,Portland Trail Blazers,Sacramento Kings,H,1,0
660,Los Angeles Lakers,Memphis Grizzlies,0.5394069991488284,Memphis Grizzlies,Los Angeles Lakers,V,0,1
661,Utah Jazz,Detroit Pistons,0.9041358200720416,Detroit Pistons,Utah Jazz,H,0,1
662,Milwaukee Bucks,Charlotte Hornets,0.8144333847307683,Charlotte Hornets,Milwaukee Bucks,H,0,1
663,New York Knicks,San Antonio Spurs,0.6753111359478232,New York Knicks,San Antonio Spurs,H,1,0
664,Boston Celtics,Indiana Pacers,0.6653186259444519,Boston Celtics,Indiana Pacers,H,1,0
665,Philadelphia 76ers,Houston Rockets,0.8945442309659002,Philadelphia 76ers,Houston Rockets,V,1,0
666,Sacramento Kings,Cleveland Cavaliers,0.6781274567136301,Cleveland Cavaliers,Sacramento Kings,V,0,1
667,Brooklyn Nets,Portland Trail Blazers,0.6130278556077247,Portland Trail Blazers,Brooklyn Nets,H,0,1
668,Washington Wizards,Oklahoma City Thunder,0.7913014863427458,Washington Wizards,Oklahoma City Thunder,H,1,0
669,Phoenix Suns,Toronto Raptors,0.8313678393102846,Phoenix Suns,Toronto Raptors,V,1,0
670,New Orleans Pelicans,Minnesota Timberwolves,0.715963304525234,New Orleans Pelicans,Minnesota Timberwolves,H,1,0
671,Memphis Grizzlies,Golden State Warriors,0.5213149774546728,Memphis Grizzlies,Golden State Warriors,H,1,0
672,Chicago Bulls,Detroit Pistons,0.7430182207920084,Chicago Bulls,Detroit Pistons,H,1,0
673,Denver Nuggets,Los Angeles Clippers,0.5251130424483036,Los Angeles Clippers,Denver Nuggets,H,0,1
674,Washington Wizards,Orlando Magic,0.7358568088332147,Washington Wizards,Orlando Magic,H,1,0
675,Philadelphia 76ers,Charlotte Hornets,0.7452382265076313,Charlotte Hornets,Philadelphia 76ers,V,0,1
676,Boston Celtics,Indiana Pacers,0.6213260459219482,Boston Celtics,Indiana Pacers,V,1,0
677,Dallas Mavericks,New York Knicks,0.6146259281426408,New York Knicks,Dallas Mavericks,H,0,1
678,Atlanta Hawks,Miami Heat,0.5542681560301487,Miami Heat,Atlanta Hawks,V,0,1
679,San Antonio Spurs,Houston Rockets,0.7145950354260631,Houston Rockets,San Antonio Spurs,V,0,1
680,Utah Jazz,Cleveland Cavaliers,0.8495683524871054,Cleveland Cavaliers,Utah Jazz,V,0,1
681,Los Angeles Lakers,Sacramento Kings,0.7017261536088691,Sacramento Kings,Los Angeles Lakers,H,0,1
682,Brooklyn Nets,Chicago Bulls,0.7508490561902699,Brooklyn Nets,Chicago Bulls,V,1,0
683,Milwaukee Bucks,Golden State Warriors,0.6452329120263574,Milwaukee Bucks,Golden State Warriors,H,1,0
684,Los Angeles Clippers,New Orleans Pelicans,0.7389805523687448,New Orleans Pelicans,Los Angeles Clippers,H,0,1
685,Memphis Grizzlies,Minnesota Timberwolves,0.802202062498417,Memphis Grizzlies,Minnesota Timberwolves,H,1,0
686,Brooklyn Nets,Oklahoma City Thunder,0.8866030788129868,Oklahoma City Thunder,Brooklyn Nets,V,0,1
687,Denver Nuggets,Portland Trail Blazers,0.5485904063779745,Denver Nuggets,Portland Trail Blazers,H,1,0
688,Philadelphia 76ers,Boston Celtics,0.6100387618514798,Philadelphia 76ers,Boston Celtics,H,1,0
689,Phoenix Suns,Indiana Pacers,0.819277031733172,Phoenix Suns,Indiana Pacers,V,1,0
690,Toronto Raptors,Detroit Pistons,0.6084838157625632,Detroit Pistons,Toronto Raptors,H,0,1
691,Charlotte Hornets,Orlando Magic,0.6532863148860731,Orlando Magic,Charlotte Hornets,V,0,1
692,Golden State Warriors,Chicago Bulls,0.597545375507591,Golden State Warriors,Chicago Bulls,V,1,0
693,Atlanta Hawks,Miami Heat,0.5825223350766828,Miami Heat,Atlanta Hawks,H,0,1
694,San Antonio Spurs,Cleveland Cavaliers,0.6533582541979026,Cleveland Cavaliers,San Antonio Spurs,V,0,1
695,Sacramento Kings,Houston Rockets,0.7367516010474775,Sacramento Kings,Houston Rockets,H,1,0
696,Dallas Mavericks,Memphis Grizzlies,0.6412039052411276,Dallas Mavericks,Memphis Grizzlies,V,1,0
697,Milwaukee Bucks,Toronto Raptors,0.7728199558677811,Toronto Raptors,Milwaukee Bucks,V,0,1
698,Portland Trail Blazers,Washington Wizards,0.6007159667338786,Portland Trail Blazers,Washington Wizards,V,1,0
699,Brooklyn Nets,New Orleans Pelicans,0.6865674392140115,Brooklyn Nets,New Orleans Pelicans,H,1,0
700,New York Knicks,Atlanta Hawks,0.503149200337206,New York Knicks,Atlanta Hawks,V,1,0
701,Oklahoma City Thunder,Cleveland Cavaliers,0.5132391778531176,Cleveland Cavaliers,Oklahoma City Thunder,V,0,1
702,Philadelphia 76ers,Miami Heat,0.666908847275061,Philadelphia 76ers,Miami Heat,V,1,0
703,Los Angeles Clippers,San Antonio Spurs,0.7637224345852128,San Antonio Spurs,Los Angeles Clippers,H,0,1
704,Boston Celtics,Chicago Bulls,0.6443080846594851,Boston Celtics,Chicago Bulls,H,1,0
705,Los Angeles Lakers,Denver Nuggets,0.5073630526281449,Denver Nuggets,Los Angeles Lakers,H,0,1
706,Dallas Mavericks,Orlando Magic,0.8264001073663354,Dallas Mavericks,Orlando Magic,H,1,0
707,Phoenix Suns,Detroit Pistons,0.8960363924434797,Phoenix Suns,Detroit Pistons,V,1,0
708,Sacramento Kings,Houston Rockets,0.7367516010474775,Houston Rockets,Sacramento Kings,V,0,1
709,Golden State Warriors,Minnesota Timberwolves,0.7247489681261418,Minnesota Timberwolves,Golden State Warriors,H,0,1
710,Utah Jazz,Denver Nuggets,0.6818584279609424,Utah Jazz,Denver Nuggets,V,1,0
711,Boston Celtics,New Orleans Pelicans,0.5814799441255593,Boston Celtics,New Orleans Pelicans,H,1,0
712,New York Knicks,Charlotte Hornets,0.6801451008496423,Charlotte Hornets,New York Knicks,V,0,1
713,Philadelphia 76ers,Washington Wizards,0.7354223431156038,Washington Wizards,Philadelphia 76ers,H,0,1
714,Brooklyn Nets,Cleveland Cavaliers,0.8520571235082296,Cleveland Cavaliers,Brooklyn Nets,H,0,1
715,Memphis Grizzlies,Chicago Bulls,0.6456057031020204,Memphis Grizzlies,Chicago Bulls,H,1,0
716,Los Angeles Clippers,Indiana Pacers,0.7568344325668981,Los Angeles Clippers,Indiana Pacers,H,1,0
717,Milwaukee Bucks,Atlanta Hawks,0.6464092985873756,Atlanta Hawks,Milwaukee Bucks,H,0,1
718,Portland Trail Blazers,Orlando Magic,0.8017610916352275,Portland Trail Blazers,Orlando Magic,V,1,0
719,Miami Heat,Toronto Raptors,0.6825303871582935,Miami Heat,Toronto Raptors,H,1,0
720,Phoenix Suns,San Antonio Spurs,0.8333615665790739,Phoenix Suns,San Antonio Spurs,V,1,0
721,Dallas Mavericks,Oklahoma City Thunder,0.8662927293447751,Dallas Mavericks,Oklahoma City Thunder,H,1,0
722,Utah Jazz,Los Angeles Lakers,0.6963815867315482,Los Angeles Lakers,Utah Jazz,H,0,1
723,New York Knicks,Minnesota Timberwolves,0.8196397152450823,Minnesota Timberwolves,New York Knicks,V,0,1
724,Golden State Warriors,Detroit Pistons,0.7975552428824226,Golden State Warriors,Detroit Pistons,H,1,0
725,Brooklyn Nets,Washington Wizards,0.7102707265454044,Brooklyn Nets,Washington Wizards,V,1,0
726,Philadelphia 76ers,Orlando Magic,0.849589805084223,Philadelphia 76ers,Orlando Magic,H,1,0
727,Portland Trail Blazers,Miami Heat,0.5200832498597701,Miami Heat,Portland Trail Blazers,H,0,1
728,Boston Celtics,Charlotte Hornets,0.65361735659546,Charlotte Hornets,Boston Celtics,V,0,1
729,Atlanta Hawks,Minnesota Timberwolves,0.8335167846614012,Atlanta Hawks,Minnesota Timberwolves,H,1,0
730,Milwaukee Bucks,Memphis Grizzlies,0.6009155093886784,Milwaukee Bucks,Memphis Grizzlies,H,1,0
731,Chicago Bulls,Cleveland Cavaliers,0.6816541093441699,Chicago Bulls,Cleveland Cavaliers,H,1,0
732,San Antonio Spurs,Oklahoma City Thunder,0.730820967547118,San Antonio Spurs,Oklahoma City Thunder,H,1,0
733,Dallas Mavericks,Toronto Raptors,0.7257436609204004,Dallas Mavericks,Toronto Raptors,H,1,0
734,Utah Jazz,Houston Rockets,0.8823830076692629,Houston Rockets,Utah Jazz,V,0,1
735,Sacramento Kings,Detroit Pistons,0.7399119844198552,Detroit Pistons,Sacramento Kings,V,0,1
736,Los Angeles Clippers,Denver Nuggets,0.5586720726197145,Denver Nuggets,Los Angeles Clippers,H,0,1
737,Los Angeles Lakers,Indiana Pacers,0.721972403123109,Indiana Pacers,Los Angeles Lakers,V,0,1
738,New York Knicks,New Orleans Pelicans,0.6102379044556661,New Orleans Pelicans,New York Knicks,V,0,1
739,Phoenix Suns,Dallas Mavericks,0.6769658976960983,Phoenix Suns,Dallas Mavericks,V,1,0
740,Golden State Warriors,Indiana Pacers,0.6275131913792475,Indiana Pacers,Golden State Warriors,V,0,1
741,Los Angeles Clippers,Philadelphia 76ers,0.5330411239049782,Los Angeles Clippers,Philadelphia 76ers,V,1,0
742,Los Angeles Lakers,Orlando Magic,0.835038962390646,Los Angeles Lakers,Orlando Magic,V,1,0
743,Charlotte Hornets,Oklahoma City Thunder,0.7194550964063748,Charlotte Hornets,Oklahoma City Thunder,H,1,0
744,Portland Trail Blazers,Boston Celtics,0.5349436809142672,Portland Trail Blazers,Boston Celtics,V,1,0
745,Atlanta Hawks,Miami Heat,0.5542681560301487,Atlanta Hawks,Miami Heat,H,1,0
746,Washington Wizards,Toronto Raptors,0.6076278826329601,Toronto Raptors,Washington Wizards,V,0,1
747,Milwaukee Bucks,Chicago Bulls,0.7526166943762993,Milwaukee Bucks,Chicago Bulls,H,1,0
748,Brooklyn Nets,San Antonio Spurs,0.7739403314798617,Brooklyn Nets,San Antonio Spurs,V,1,0
749,Utah Jazz,Detroit Pistons,0.8840701462735903,Utah Jazz,Detroit Pistons,H,1,0
750,Denver Nuggets,Memphis Grizzlies,0.556200533958549,Memphis Grizzlies,Denver Nuggets,V,0,1
751,Golden State Warriors,Houston Rockets,0.7949011385446404,Golden State Warriors,Houston Rockets,H,1,0
752,Milwaukee Bucks,Sacramento Kings,0.7678403927529296,Milwaukee Bucks,Sacramento Kings,H,1,0
